term,term_normalized,is_multi_word,subjects,grade_bands,standard_ref,awl_match,is_latin_derived,is_greek_derived,etymology_evidence,is_bridge_priority,transliteration_difficulty,frequency,pos
science,science,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:ence,True,medium,6772,PROPN
concept,concept,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,True,False,L-prefix:con,True,medium,2703,NOUN
energy,energy,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,False,False,,True,medium,2000,NOUN
science concept,science concept,True,science,3-5|6-8|9-12|K-2,,True,True,False,L-prefix:con,True,high,1856,NP
design,design,False,ela|math|science,3-5|6-8|9-12|K-2,RI.4.3,True,True,False,L-prefix:de|L-root:sign,True,medium,1690,PROPN
object,object,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,8.EE.6,False,True,False,L-prefix:ob|L-root:ject,True,medium,1682,NOUN
process,process,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,True,False,L-prefix:pro,True,medium,1375,NOUN
mathematical,mathematical,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:al,True,high,1342,PROPN
solution,solution,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RI.4.5,False,True,False,L-suffix:tion,True,high,1316,NOUN
function,function,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,True,False,L-suffix:tion,True,high,1280,NOUN
problem,problem,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RI.4.5,False,True,False,L-prefix:pro,True,medium,1253,NOUN
contents,contents,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:con,True,high,1064,PROPN
property,property,False,math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:pro|L-root:oper,True,high,1047,NOUN
text,text,False,ela|math,3-5|6-8|9-12|K-2,,True,False,False,,True,low,955,PROPN
interpreting,interpreting,False,ela|math|science,3-5|6-8|9-12|K-2,F.1,True,True,False,L-prefix:inter,True,high,922,NOUN
relationship,relationship,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:re,True,high,918,NOUN
technological,technological,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,True,L-suffix:al|G-root:techn,True,high,904,ADJ
nature,nature,False,math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:ure,True,medium,874,NOUN
real,real,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,3.MD.1,False,False,False,,True,low,849,ADJ
accurate,accurate,False,ela|math|science,3-5|6-8|9-12|K-2,,True,False,False,,True,medium,842,ADJ
structure,structure,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,True,False,L-suffix:ure|L-root:struct,True,high,837,PROPN
specific,specific,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,True,False,L-root:spec,True,high,828,ADJ
graph,graph,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RI.4.7,False,False,True,G-root:graph,True,medium,809,NOUN
activity,activity,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:ity|L-root:vit,True,high,805,NOUN
experience,experience,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,F.3,False,True,False,L-prefix:ex|L-suffix:ence,True,high,776,NOUN
research,research,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,True,True,L-prefix:re|G-root:arch,True,high,772,NOUN
science knowledge interpreting,science knowledge interpreting,True,science,3-5|6-8|9-12|K-2,,True,True,False,L-prefix:inter,True,high,768,NP
reasoning,reasoning,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RI.2.7,False,True,False,L-prefix:re,True,high,761,NOUN
current,current,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,MD.4,False,True,False,L-suffix:ent,True,medium,761,ADJ
appropriate,appropriate,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,False,False,,True,medium,742,ADJ
evidence,evidence,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:ence|L-root:vid,True,high,739,NOUN
area,area,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,False,False,,True,low,729,NOUN
equation,equation,False,ela|math|science,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:tion,True,high,725,NOUN
aspect,aspect,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,RL.5.6,True,True,False,L-root:spec,True,medium,716,NOUN
course,course,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:co,True,medium,711,NOUN
probability,probability,False,math|science,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:pro|L-suffix:ity,True,high,686,NOUN
investigation,investigation,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:in|L-suffix:tion,True,high,676,NOUN
cognitive,cognitive,False,science,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:co|L-suffix:ive,True,high,676,PROPN
material,material,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:ial|L-root:mater,True,high,630,NOUN
human,human,False,math|science|social-studies,3-5|6-8|9-12|K-2,G.1,False,False,False,,True,low,629,ADJ
computer,computer,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,7.NS.3,False,True,False,L-prefix:com,True,high,628,NOUN
possible,possible,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:ible,True,high,625,ADJ
important,important,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:im|L-suffix:ant|L-root:port,True,high,617,ADJ
effect,effect,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,5.NF.6,False,False,False,,True,low,614,NOUN
task,task,False,ela|math|science,3-5|6-8|9-12|K-2,,True,False,False,,True,low,603,PROPN
measurement,measurement,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:ment,True,high,585,NOUN
variable,variable,False,ela|math|science,3-5|6-8|9-12|K-2,L.6.1,False,True,False,L-suffix:able,True,high,540,NOUN
method,method,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,False,False,,True,low,525,NOUN
instruction,instruction,False,ela|math|science,3-5|6-8|9-12|K-2,,False,True,False,L-prefix:in|L-suffix:tion|L-root:struct,True,high,524,NOUN
local,local,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:al,True,medium,512,PROPN
education,education,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,False,True,False,L-suffix:tion|L-root:duc,True,high,511,PROPN
mass,mass,False,math|science|social-studies,3-5|6-8|9-12|K-2,,False,False,False,,True,low,510,NOUN
situation,situation,False,ela|math|science,3-5|6-8|9-12|K-2,W.3.3,False,True,False,L-suffix:tion,True,high,504,NOUN
expression,expression,False,ela|math|science,3-5|6-8|9-12|K-2,OA.1,False,True,False,L-prefix:ex|L-suffix:sion,True,high,497,NOUN
temperature,temperature,False,math|science,3-5|6-8|9-12|K-2,6.NS.5,False,True,False,L-suffix:ure|L-root:temp,True,high,497,NOUN
specie,specie,False,science,3-5|6-8|9-12|K-2,,False,True,False,L-root:spec,True,medium,482,NOUN
technology,technology,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,,True,False,True,G-suffix:ology|G-root:techn,True,high,469,PROPN
expectation,expectation,False,ela|math|science|social-studies,3-5|6-8|9-12|K-2,MD.2,False,True,False,L-prefix:ex|L-suffix:tion,True,high,464,NOUN
